workerid,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,"""3D3B8GE892SHZTV5P7N7CL96QT39PZ""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Mon Oct 22 21:21:33 CEST 2018""","""15""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2700""","""60000""","""Wed Nov 21 20:21:33 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3D3B8GE892SHZTV5P7N7CL96QT39PZ""","""31QTRG6Q2TEZNE17NLKP0MYLNUAPYH""",0,"""Submitted""","""Tue Oct 23 14:16:47 CEST 2018""","""Mon Oct 22 21:21:40 CEST 2018""","""Mon Oct 22 21:36:47 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""L\""""","""9.364066666666666"""
1,"""3D3B8GE892SHZTV5P7N7CL96QT39PZ""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Mon Oct 22 21:21:33 CEST 2018""","""15""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2700""","""60000""","""Wed Nov 21 20:21:33 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3D3B8GE892SHZTV5P7N7CL96QT39PZ""","""3ZSY5X72NXC85DDKUQFG3Q0YA2ZRO0""",1,"""Submitted""","""Tue Oct 23 14:20:24 CEST 2018""","""Mon Oct 22 21:25:50 CEST 2018""","""Mon Oct 22 21:40:24 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""L\""""","""11.73055"""
2,"""3D3B8GE892SHZTV5P7N7CL96QT39PZ""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Mon Oct 22 21:21:33 CEST 2018""","""15""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2700""","""60000""","""Wed Nov 21 20:21:33 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3D3B8GE892SHZTV5P7N7CL96QT39PZ""","""3U0SRXB7CD6QNSD8TBF3O10TKSURNL""",2,"""Submitted""","""Tue Oct 23 14:23:33 CEST 2018""","""Mon Oct 22 21:21:39 CEST 2018""","""Mon Oct 22 21:43:33 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""19.9527"""
3,"""3D3B8GE892SHZTV5P7N7CL96QT39PZ""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Mon Oct 22 21:21:33 CEST 2018""","""15""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2700""","""60000""","""Wed Nov 21 20:21:33 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3D3B8GE892SHZTV5P7N7CL96QT39PZ""","""3TK8OJTYM1MIJK62IAX5TNUR5D8PV8""",3,"""Submitted""","""Tue Oct 23 14:23:48 CEST 2018""","""Mon Oct 22 21:21:40 CEST 2018""","""Mon Oct 22 21:43:48 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""L\""""","""13.586733333333333"""
4,"""3D3B8GE892SHZTV5P7N7CL96QT39PZ""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Mon Oct 22 21:21:33 CEST 2018""","""15""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2700""","""60000""","""Wed Nov 21 20:21:33 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3D3B8GE892SHZTV5P7N7CL96QT39PZ""","""3NPI0JQDAO636S2DDFXQS5668SSPTS""",4,"""Submitted""","""Tue Oct 23 14:26:39 CEST 2018""","""Mon Oct 22 21:21:38 CEST 2018""","""Mon Oct 22 21:46:39 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""L\""""","""6.421"""
5,"""3D3B8GE892SHZTV5P7N7CL96QT39PZ""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Mon Oct 22 21:21:33 CEST 2018""","""15""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2700""","""60000""","""Wed Nov 21 20:21:33 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3D3B8GE892SHZTV5P7N7CL96QT39PZ""","""3IUZPWIU1O8UNI9RVSXTJ8R6IC4KWC""",5,"""Submitted""","""Tue Oct 23 14:27:35 CEST 2018""","""Mon Oct 22 21:21:40 CEST 2018""","""Mon Oct 22 21:47:35 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""19.771533333333334"""
6,"""3D3B8GE892SHZTV5P7N7CL96QT39PZ""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Mon Oct 22 21:21:33 CEST 2018""","""15""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2700""","""60000""","""Wed Nov 21 20:21:33 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3D3B8GE892SHZTV5P7N7CL96QT39PZ""","""3J88R45B2GZAN9BXIPYNH8RCLOGPXB""",6,"""Submitted""","""Tue Oct 23 14:33:30 CEST 2018""","""Mon Oct 22 21:21:40 CEST 2018""","""Mon Oct 22 21:53:30 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""25.83815"""
7,"""3D3B8GE892SHZTV5P7N7CL96QT39PZ""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Mon Oct 22 21:21:33 CEST 2018""","""15""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2700""","""60000""","""Wed Nov 21 20:21:33 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3D3B8GE892SHZTV5P7N7CL96QT39PZ""","""3YOH7BII098H8T9M5ISXX68SB32KV2""",7,"""Submitted""","""Tue Oct 23 14:33:54 CEST 2018""","""Mon Oct 22 21:21:40 CEST 2018""","""Mon Oct 22 21:53:54 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""19.226166666666668"""
8,"""3D3B8GE892SHZTV5P7N7CL96QT39PZ""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Mon Oct 22 21:21:33 CEST 2018""","""15""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2700""","""60000""","""Wed Nov 21 20:21:33 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3D3B8GE892SHZTV5P7N7CL96QT39PZ""","""36NEMU28XFEPD69UG4A9YLJA7HZWMT""",8,"""Submitted""","""Tue Oct 23 14:38:27 CEST 2018""","""Mon Oct 22 21:29:56 CEST 2018""","""Mon Oct 22 21:58:27 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""L\""""","""14.8614"""
9,"""3D3B8GE892SHZTV5P7N7CL96QT39PZ""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Mon Oct 22 21:21:33 CEST 2018""","""15""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2700""","""60000""","""Wed Nov 21 20:21:33 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3D3B8GE892SHZTV5P7N7CL96QT39PZ""","""3LKC68YZ3A4DD9U6TKPMQP8F2HEWO8""",9,"""Submitted""","""Tue Oct 23 14:41:33 CEST 2018""","""Mon Oct 22 21:21:40 CEST 2018""","""Mon Oct 22 22:01:33 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""19.12495"""
