workerid,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,"""30IRMPJWDZKMS2UB6WIL7PN129MKRN""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue Oct 23 09:53:22 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2700""","""60000""","""Thu Nov 22 08:53:22 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=30IRMPJWDZKMS2UB6WIL7PN129MKRN""","""3BWI6RSP7GACB3GGRYEETXFK62IE7W""",0,"""Submitted""","""Wed Oct 24 02:55:24 CEST 2018""","""Tue Oct 23 09:53:34 CEST 2018""","""Tue Oct 23 10:15:24 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""L\""""","""21.711266666666667"""
1,"""30IRMPJWDZKMS2UB6WIL7PN129MKRN""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue Oct 23 09:53:22 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2700""","""60000""","""Thu Nov 22 08:53:22 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=30IRMPJWDZKMS2UB6WIL7PN129MKRN""","""31JLPPHS2UVGMBSIJ0EKLSXI522O35""",1,"""Submitted""","""Wed Oct 24 02:57:20 CEST 2018""","""Tue Oct 23 09:53:32 CEST 2018""","""Tue Oct 23 10:17:20 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""23.43338333333333"""
2,"""30IRMPJWDZKMS2UB6WIL7PN129MKRN""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue Oct 23 09:53:22 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2700""","""60000""","""Thu Nov 22 08:53:22 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=30IRMPJWDZKMS2UB6WIL7PN129MKRN""","""3P4MQ7TPPXD16C7MUOO4XRVVMVWBBF""",2,"""Submitted""","""Wed Oct 24 03:02:06 CEST 2018""","""Tue Oct 23 09:53:29 CEST 2018""","""Tue Oct 23 10:22:06 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""27.72298333333333"""
3,"""30IRMPJWDZKMS2UB6WIL7PN129MKRN""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue Oct 23 09:53:22 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2700""","""60000""","""Thu Nov 22 08:53:22 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=30IRMPJWDZKMS2UB6WIL7PN129MKRN""","""3WSELTNVR33WJOWBOWFT2AHBAKBTAS""",3,"""Submitted""","""Wed Oct 24 03:38:11 CEST 2018""","""Tue Oct 23 10:39:12 CEST 2018""","""Tue Oct 23 10:58:11 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""L\""""","""18.852433333333334"""
4,"""30IRMPJWDZKMS2UB6WIL7PN129MKRN""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue Oct 23 09:53:22 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2700""","""60000""","""Thu Nov 22 08:53:22 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=30IRMPJWDZKMS2UB6WIL7PN129MKRN""","""3LEP4MGT3G1UL9568KFASHJVPG8BDM""",4,"""Submitted""","""Wed Oct 24 03:46:20 CEST 2018""","""Tue Oct 23 10:34:34 CEST 2018""","""Tue Oct 23 11:06:20 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""L\""""","""21.501516666666667"""
5,"""30IRMPJWDZKMS2UB6WIL7PN129MKRN""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue Oct 23 09:53:22 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2700""","""60000""","""Thu Nov 22 08:53:22 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=30IRMPJWDZKMS2UB6WIL7PN129MKRN""","""36WLNQG78ZBZDFJ64FQUYZ1GPS9BEF""",5,"""Submitted""","""Wed Oct 24 03:46:48 CEST 2018""","""Tue Oct 23 10:39:12 CEST 2018""","""Tue Oct 23 11:06:48 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""L\""""","""25.365366666666667"""
6,"""30IRMPJWDZKMS2UB6WIL7PN129MKRN""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue Oct 23 09:53:22 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2700""","""60000""","""Thu Nov 22 08:53:22 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=30IRMPJWDZKMS2UB6WIL7PN129MKRN""","""3LJ7UR74RHEJMMBAIZJQG8PJTTBN4U""",6,"""Submitted""","""Wed Oct 24 03:47:55 CEST 2018""","""Tue Oct 23 10:39:33 CEST 2018""","""Tue Oct 23 11:07:55 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""L\""""","""20.85396666666667"""
7,"""30IRMPJWDZKMS2UB6WIL7PN129MKRN""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue Oct 23 09:53:22 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2700""","""60000""","""Thu Nov 22 08:53:22 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=30IRMPJWDZKMS2UB6WIL7PN129MKRN""","""39RP059MEHUXP3BJLDEDB76PYU0BM4""",7,"""Submitted""","""Wed Oct 24 03:49:23 CEST 2018""","""Tue Oct 23 10:39:13 CEST 2018""","""Tue Oct 23 11:09:23 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""L\""""","""24.573733333333333"""
8,"""30IRMPJWDZKMS2UB6WIL7PN129MKRN""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue Oct 23 09:53:22 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2700""","""60000""","""Thu Nov 22 08:53:22 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=30IRMPJWDZKMS2UB6WIL7PN129MKRN""","""3K3R2QNK8B4XEI1VWVR3BBSTNHK9U6""",8,"""Submitted""","""Wed Oct 24 04:02:57 CEST 2018""","""Tue Oct 23 10:43:30 CEST 2018""","""Tue Oct 23 11:22:57 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""L\""""","""18.488"""
9,"""30IRMPJWDZKMS2UB6WIL7PN129MKRN""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue Oct 23 09:53:22 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2700""","""60000""","""Thu Nov 22 08:53:22 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=30IRMPJWDZKMS2UB6WIL7PN129MKRN""","""3E1QT0TDFPASRMNLXMWBSC979FV8IM""",9,"""Submitted""","""Wed Oct 24 04:03:52 CEST 2018""","""Tue Oct 23 10:39:02 CEST 2018""","""Tue Oct 23 11:23:52 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""L\""""","""17.894133333333333"""
