workerid,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,"""31GECDVA9JNM74B2C4LMMBRN4AC66V""","""3JH21YRKZ6CN7FDDOQ4B7UFR99T0J5""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of another sentence.""","""language research fun cognitive science university explanations""","""$4.00""","""Wed Oct 03 18:07:05 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2400""","""60000""","""Fri Nov 02 17:07:05 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=31GECDVA9JNM74B2C4LMMBRN4AC66V""","""3EJJQNKU9R6YDWRXQDKQJH3XRU4HR6""",0,"""Submitted""","""Thu Oct 04 11:06:34 CEST 2018""","""Wed Oct 03 18:07:13 CEST 2018""","""Wed Oct 03 18:26:34 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""16.175233333333335"""
1,"""31GECDVA9JNM74B2C4LMMBRN4AC66V""","""3JH21YRKZ6CN7FDDOQ4B7UFR99T0J5""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of another sentence.""","""language research fun cognitive science university explanations""","""$4.00""","""Wed Oct 03 18:07:05 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2400""","""60000""","""Fri Nov 02 17:07:05 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=31GECDVA9JNM74B2C4LMMBRN4AC66V""","""3FIJLY1B6U5TNNKCIVS1B1R5AX3FPE""",1,"""Submitted""","""Thu Oct 04 11:06:38 CEST 2018""","""Wed Oct 03 18:07:14 CEST 2018""","""Wed Oct 03 18:26:38 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""14.2787"""
2,"""31GECDVA9JNM74B2C4LMMBRN4AC66V""","""3JH21YRKZ6CN7FDDOQ4B7UFR99T0J5""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of another sentence.""","""language research fun cognitive science university explanations""","""$4.00""","""Wed Oct 03 18:07:05 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2400""","""60000""","""Fri Nov 02 17:07:05 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=31GECDVA9JNM74B2C4LMMBRN4AC66V""","""32SCWG5HIH5X4UR1H2PXHVESHY0P6L""",2,"""Submitted""","""Thu Oct 04 11:06:47 CEST 2018""","""Wed Oct 03 18:07:14 CEST 2018""","""Wed Oct 03 18:26:47 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""L\""""","""15.283133333333334"""
3,"""31GECDVA9JNM74B2C4LMMBRN4AC66V""","""3JH21YRKZ6CN7FDDOQ4B7UFR99T0J5""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of another sentence.""","""language research fun cognitive science university explanations""","""$4.00""","""Wed Oct 03 18:07:05 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2400""","""60000""","""Fri Nov 02 17:07:05 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=31GECDVA9JNM74B2C4LMMBRN4AC66V""","""3QY7M81QH7NFX38QNKPHRSSPIZEK7E""",3,"""Submitted""","""Thu Oct 04 11:09:39 CEST 2018""","""Wed Oct 03 18:07:14 CEST 2018""","""Wed Oct 03 18:29:39 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""18.237616666666668"""
4,"""31GECDVA9JNM74B2C4LMMBRN4AC66V""","""3JH21YRKZ6CN7FDDOQ4B7UFR99T0J5""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of another sentence.""","""language research fun cognitive science university explanations""","""$4.00""","""Wed Oct 03 18:07:05 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2400""","""60000""","""Fri Nov 02 17:07:05 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=31GECDVA9JNM74B2C4LMMBRN4AC66V""","""3VFJCI1K4Z0KD0WM6728YHRWCURRGH""",4,"""Submitted""","""Thu Oct 04 11:10:43 CEST 2018""","""Wed Oct 03 18:07:14 CEST 2018""","""Wed Oct 03 18:30:43 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""L\""""","""19.381016666666667"""
5,"""31GECDVA9JNM74B2C4LMMBRN4AC66V""","""3JH21YRKZ6CN7FDDOQ4B7UFR99T0J5""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of another sentence.""","""language research fun cognitive science university explanations""","""$4.00""","""Wed Oct 03 18:07:05 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2400""","""60000""","""Fri Nov 02 17:07:05 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=31GECDVA9JNM74B2C4LMMBRN4AC66V""","""35L9RVQFCOJQTOJEU7FVOSQHYT8HUA""",5,"""Submitted""","""Thu Oct 04 11:12:19 CEST 2018""","""Wed Oct 03 18:07:14 CEST 2018""","""Wed Oct 03 18:32:19 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""L\""""","""23.077016666666665"""
6,"""31GECDVA9JNM74B2C4LMMBRN4AC66V""","""3JH21YRKZ6CN7FDDOQ4B7UFR99T0J5""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of another sentence.""","""language research fun cognitive science university explanations""","""$4.00""","""Wed Oct 03 18:07:05 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2400""","""60000""","""Fri Nov 02 17:07:05 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=31GECDVA9JNM74B2C4LMMBRN4AC66V""","""3MHW492WW0ECYH9PQU5DCJ0WTMGMVD""",6,"""Submitted""","""Thu Oct 04 11:17:38 CEST 2018""","""Wed Oct 03 18:07:14 CEST 2018""","""Wed Oct 03 18:37:38 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""L\""""","""8.987633333333333"""
7,"""31GECDVA9JNM74B2C4LMMBRN4AC66V""","""3JH21YRKZ6CN7FDDOQ4B7UFR99T0J5""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of another sentence.""","""language research fun cognitive science university explanations""","""$4.00""","""Wed Oct 03 18:07:05 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2400""","""60000""","""Fri Nov 02 17:07:05 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=31GECDVA9JNM74B2C4LMMBRN4AC66V""","""3KMS4QQVK2RSCWNW53NTFK56GNXFKD""",7,"""Submitted""","""Thu Oct 04 11:30:41 CEST 2018""","""Wed Oct 03 18:29:12 CEST 2018""","""Wed Oct 03 18:50:41 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""21.205516666666668"""
8,"""31GECDVA9JNM74B2C4LMMBRN4AC66V""","""3JH21YRKZ6CN7FDDOQ4B7UFR99T0J5""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of another sentence.""","""language research fun cognitive science university explanations""","""$4.00""","""Wed Oct 03 18:07:05 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2400""","""60000""","""Fri Nov 02 17:07:05 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=31GECDVA9JNM74B2C4LMMBRN4AC66V""","""3TVSS0C0E11TQ1ZEP1BLKZE2U3EWTY""",8,"""Submitted""","""Thu Oct 04 11:57:37 CEST 2018""","""Wed Oct 03 18:49:39 CEST 2018""","""Wed Oct 03 19:17:37 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""L\""""","""16.21505"""
9,"""31GECDVA9JNM74B2C4LMMBRN4AC66V""","""3JH21YRKZ6CN7FDDOQ4B7UFR99T0J5""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of another sentence.""","""language research fun cognitive science university explanations""","""$4.00""","""Wed Oct 03 18:07:05 CEST 2018""","""10""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2400""","""60000""","""Fri Nov 02 17:07:05 CET 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=31GECDVA9JNM74B2C4LMMBRN4AC66V""","""31Q0U3WYDPGDR2M4FAJZMDWQ9VV71J""",9,"""Submitted""","""Thu Oct 04 13:00:11 CEST 2018""","""Wed Oct 03 19:57:50 CEST 2018""","""Wed Oct 03 20:20:11 CEST 2018""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""21.823166666666665"""
