workerid,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,"""38EHZ67RIMTQT0L0BX1PNY1Y01OMGJ""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue May 21 09:23:51 CEST 2019""","""75""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2700""","""60000""","""Thu Jun 20 09:23:51 CEST 2019""","""https://requester.mturk.com/mturk/manageHIT?HITId=38EHZ67RIMTQT0L0BX1PNY1Y01OMGJ""","""352YTHGROVERCQPZF1ODBOSPHQ5H4E""",0,"""Submitted""","""Wed May 22 02:16:21 CEST 2019""","""Tue May 21 09:26:12 CEST 2019""","""Tue May 21 09:36:21 CEST 2019""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""10.0546"""
1,"""38EHZ67RIMTQT0L0BX1PNY1Y01OMGJ""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue May 21 09:23:51 CEST 2019""","""75""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2700""","""60000""","""Thu Jun 20 09:23:51 CEST 2019""","""https://requester.mturk.com/mturk/manageHIT?HITId=38EHZ67RIMTQT0L0BX1PNY1Y01OMGJ""","""3RANCT1ZVFIG2BGSUF5Z2HNLLQOUBY""",1,"""Submitted""","""Wed May 22 02:20:51 CEST 2019""","""Tue May 21 09:26:00 CEST 2019""","""Tue May 21 09:40:51 CEST 2019""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""14.555016666666667"""
2,"""38EHZ67RIMTQT0L0BX1PNY1Y01OMGJ""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue May 21 09:23:51 CEST 2019""","""75""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2700""","""60000""","""Thu Jun 20 09:23:51 CEST 2019""","""https://requester.mturk.com/mturk/manageHIT?HITId=38EHZ67RIMTQT0L0BX1PNY1Y01OMGJ""","""3SPJ0334214313Y9S8F53QCBPJ8JY6""",2,"""Submitted""","""Wed May 22 02:21:22 CEST 2019""","""Tue May 21 09:26:06 CEST 2019""","""Tue May 21 09:41:22 CEST 2019""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""14.820316666666667"""
3,"""38EHZ67RIMTQT0L0BX1PNY1Y01OMGJ""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue May 21 09:23:51 CEST 2019""","""75""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2700""","""60000""","""Thu Jun 20 09:23:51 CEST 2019""","""https://requester.mturk.com/mturk/manageHIT?HITId=38EHZ67RIMTQT0L0BX1PNY1Y01OMGJ""","""3TY7ZAOG5FL1FS862L48CDI4SVTK05""",3,"""Submitted""","""Wed May 22 02:22:23 CEST 2019""","""Tue May 21 09:26:08 CEST 2019""","""Tue May 21 09:42:23 CEST 2019""","""""","""""","""""","""""","""""","""[]""","""\""L\""""","""16.18115"""
4,"""38EHZ67RIMTQT0L0BX1PNY1Y01OMGJ""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue May 21 09:23:51 CEST 2019""","""75""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2700""","""60000""","""Thu Jun 20 09:23:51 CEST 2019""","""https://requester.mturk.com/mturk/manageHIT?HITId=38EHZ67RIMTQT0L0BX1PNY1Y01OMGJ""","""3E7TUJ2EGCNBXGQ9A01E1BO7BQQ9DT""",4,"""Submitted""","""Wed May 22 02:22:35 CEST 2019""","""Tue May 21 09:26:04 CEST 2019""","""Tue May 21 09:42:35 CEST 2019""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""15.719433333333333"""
5,"""38EHZ67RIMTQT0L0BX1PNY1Y01OMGJ""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue May 21 09:23:51 CEST 2019""","""75""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2700""","""60000""","""Thu Jun 20 09:23:51 CEST 2019""","""https://requester.mturk.com/mturk/manageHIT?HITId=38EHZ67RIMTQT0L0BX1PNY1Y01OMGJ""","""3KV0LJBBH2MK5AS8HA03BMBVQQOMRB""",5,"""Submitted""","""Wed May 22 02:24:28 CEST 2019""","""Tue May 21 09:27:01 CEST 2019""","""Tue May 21 09:44:28 CEST 2019""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""17.105433333333334"""
6,"""38EHZ67RIMTQT0L0BX1PNY1Y01OMGJ""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue May 21 09:23:51 CEST 2019""","""75""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2700""","""60000""","""Thu Jun 20 09:23:51 CEST 2019""","""https://requester.mturk.com/mturk/manageHIT?HITId=38EHZ67RIMTQT0L0BX1PNY1Y01OMGJ""","""3XUHV3NRVKZ989TZT67NGGY3HM0H5J""",6,"""Submitted""","""Wed May 22 02:25:51 CEST 2019""","""Tue May 21 09:26:14 CEST 2019""","""Tue May 21 09:45:51 CEST 2019""","""""","""""","""""","""""","""""","""[]""","""\""L\""""","""19.21355"""
7,"""38EHZ67RIMTQT0L0BX1PNY1Y01OMGJ""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue May 21 09:23:51 CEST 2019""","""75""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2700""","""60000""","""Thu Jun 20 09:23:51 CEST 2019""","""https://requester.mturk.com/mturk/manageHIT?HITId=38EHZ67RIMTQT0L0BX1PNY1Y01OMGJ""","""3KJYX6QCM9CMX934NXSLWR8H726JVX""",7,"""Submitted""","""Wed May 22 02:29:02 CEST 2019""","""Tue May 21 09:26:02 CEST 2019""","""Tue May 21 09:49:02 CEST 2019""","""""","""""","""""","""""","""""","""[]""","""\""L\""""","""19.300633333333334"""
8,"""38EHZ67RIMTQT0L0BX1PNY1Y01OMGJ""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue May 21 09:23:51 CEST 2019""","""75""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2700""","""60000""","""Thu Jun 20 09:23:51 CEST 2019""","""https://requester.mturk.com/mturk/manageHIT?HITId=38EHZ67RIMTQT0L0BX1PNY1Y01OMGJ""","""30MVJZJNHMEO02Q1KWNP49JKGAN9J7""",8,"""Submitted""","""Wed May 22 02:29:09 CEST 2019""","""Tue May 21 09:26:15 CEST 2019""","""Tue May 21 09:49:09 CEST 2019""","""""","""""","""""","""""","""""","""[]""","""\""L\""""","""22.8564"""
9,"""38EHZ67RIMTQT0L0BX1PNY1Y01OMGJ""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue May 21 09:23:51 CEST 2019""","""75""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2700""","""60000""","""Thu Jun 20 09:23:51 CEST 2019""","""https://requester.mturk.com/mturk/manageHIT?HITId=38EHZ67RIMTQT0L0BX1PNY1Y01OMGJ""","""3PS7W85Z8Z3IE5M6WQ1T6F6TECE9TC""",9,"""Submitted""","""Wed May 22 02:29:15 CEST 2019""","""Tue May 21 09:27:02 CEST 2019""","""Tue May 21 09:49:15 CEST 2019""","""""","""""","""""","""""","""""","""[]""","""\""L\""""","""20.486816666666666"""
10,"""38EHZ67RIMTQT0L0BX1PNY1Y01OMGJ""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue May 21 09:23:51 CEST 2019""","""75""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2700""","""60000""","""Thu Jun 20 09:23:51 CEST 2019""","""https://requester.mturk.com/mturk/manageHIT?HITId=38EHZ67RIMTQT0L0BX1PNY1Y01OMGJ""","""3TESA3PJ31BT8UFGC24MPNHLK3PMMN""",10,"""Submitted""","""Wed May 22 02:29:54 CEST 2019""","""Tue May 21 09:26:16 CEST 2019""","""Tue May 21 09:49:54 CEST 2019""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""23.20318333333333"""
11,"""38EHZ67RIMTQT0L0BX1PNY1Y01OMGJ""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue May 21 09:23:51 CEST 2019""","""75""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2700""","""60000""","""Thu Jun 20 09:23:51 CEST 2019""","""https://requester.mturk.com/mturk/manageHIT?HITId=38EHZ67RIMTQT0L0BX1PNY1Y01OMGJ""","""35GMH2SV3EIJW98F8KVG4J1H61DEO5""",11,"""Submitted""","""Wed May 22 02:30:10 CEST 2019""","""Tue May 21 09:26:02 CEST 2019""","""Tue May 21 09:50:10 CEST 2019""","""""","""""","""""","""""","""""","""[]""","""\""L\""""","""9.278866666666667"""
12,"""38EHZ67RIMTQT0L0BX1PNY1Y01OMGJ""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue May 21 09:23:51 CEST 2019""","""75""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2700""","""60000""","""Thu Jun 20 09:23:51 CEST 2019""","""https://requester.mturk.com/mturk/manageHIT?HITId=38EHZ67RIMTQT0L0BX1PNY1Y01OMGJ""","""3TS1AR6UQQF4HHGCM9YKBF0MSDIF7Y""",12,"""Submitted""","""Wed May 22 02:30:26 CEST 2019""","""Tue May 21 09:27:00 CEST 2019""","""Tue May 21 09:50:26 CEST 2019""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""22.4371"""
13,"""38EHZ67RIMTQT0L0BX1PNY1Y01OMGJ""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue May 21 09:23:51 CEST 2019""","""75""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2700""","""60000""","""Thu Jun 20 09:23:51 CEST 2019""","""https://requester.mturk.com/mturk/manageHIT?HITId=38EHZ67RIMTQT0L0BX1PNY1Y01OMGJ""","""3A1PQ49WVHIAKRSGSJ5BDQLM56VH11""",13,"""Submitted""","""Wed May 22 02:30:33 CEST 2019""","""Tue May 21 09:26:01 CEST 2019""","""Tue May 21 09:50:33 CEST 2019""","""""","""""","""""","""""","""""","""[]""","""\""L\""""","""20.34775"""
14,"""38EHZ67RIMTQT0L0BX1PNY1Y01OMGJ""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue May 21 09:23:51 CEST 2019""","""75""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2700""","""60000""","""Thu Jun 20 09:23:51 CEST 2019""","""https://requester.mturk.com/mturk/manageHIT?HITId=38EHZ67RIMTQT0L0BX1PNY1Y01OMGJ""","""3BC8WZX3V3XB2Q50MIWKXL55WDNRR4""",14,"""Submitted""","""Wed May 22 02:30:38 CEST 2019""","""Tue May 21 09:26:03 CEST 2019""","""Tue May 21 09:50:38 CEST 2019""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""24.172716666666666"""
15,"""38EHZ67RIMTQT0L0BX1PNY1Y01OMGJ""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue May 21 09:23:51 CEST 2019""","""75""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2700""","""60000""","""Thu Jun 20 09:23:51 CEST 2019""","""https://requester.mturk.com/mturk/manageHIT?HITId=38EHZ67RIMTQT0L0BX1PNY1Y01OMGJ""","""3JAOYWH7VI5UVSE1NHZ2KOWCKZS9L9""",15,"""Submitted""","""Wed May 22 02:31:37 CEST 2019""","""Tue May 21 09:26:18 CEST 2019""","""Tue May 21 09:51:37 CEST 2019""","""""","""""","""""","""""","""""","""[]""","""\""L\""""","""24.683166666666665"""
16,"""38EHZ67RIMTQT0L0BX1PNY1Y01OMGJ""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue May 21 09:23:51 CEST 2019""","""75""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2700""","""60000""","""Thu Jun 20 09:23:51 CEST 2019""","""https://requester.mturk.com/mturk/manageHIT?HITId=38EHZ67RIMTQT0L0BX1PNY1Y01OMGJ""","""3A4NIXBJ76092CXVCQ37PA2WKYZMLL""",16,"""Submitted""","""Wed May 22 02:32:18 CEST 2019""","""Tue May 21 09:26:09 CEST 2019""","""Tue May 21 09:52:18 CEST 2019""","""""","""""","""""","""""","""""","""[]""","""\""L\""""","""25.91775"""
17,"""38EHZ67RIMTQT0L0BX1PNY1Y01OMGJ""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue May 21 09:23:51 CEST 2019""","""75""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2700""","""60000""","""Thu Jun 20 09:23:51 CEST 2019""","""https://requester.mturk.com/mturk/manageHIT?HITId=38EHZ67RIMTQT0L0BX1PNY1Y01OMGJ""","""35LDD5557A5YI6FDRQR6AAPHVYUMKI""",17,"""Submitted""","""Wed May 22 02:32:34 CEST 2019""","""Tue May 21 09:26:09 CEST 2019""","""Tue May 21 09:52:34 CEST 2019""","""""","""""","""""","""""","""""","""[]""","""\""L\""""","""20.2853"""
18,"""38EHZ67RIMTQT0L0BX1PNY1Y01OMGJ""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue May 21 09:23:51 CEST 2019""","""75""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2700""","""60000""","""Thu Jun 20 09:23:51 CEST 2019""","""https://requester.mturk.com/mturk/manageHIT?HITId=38EHZ67RIMTQT0L0BX1PNY1Y01OMGJ""","""3C44YUNSI1QWP36GRPXBN1OMGU8PD4""",18,"""Submitted""","""Wed May 22 02:33:39 CEST 2019""","""Tue May 21 09:26:12 CEST 2019""","""Tue May 21 09:53:39 CEST 2019""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""21.010383333333333"""
19,"""38EHZ67RIMTQT0L0BX1PNY1Y01OMGJ""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue May 21 09:23:51 CEST 2019""","""75""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2700""","""60000""","""Thu Jun 20 09:23:51 CEST 2019""","""https://requester.mturk.com/mturk/manageHIT?HITId=38EHZ67RIMTQT0L0BX1PNY1Y01OMGJ""","""33SA9F9TRXVR1IHHZ6MQLDE393CEWH""",19,"""Submitted""","""Wed May 22 02:34:26 CEST 2019""","""Tue May 21 09:26:15 CEST 2019""","""Tue May 21 09:54:26 CEST 2019""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""28.095766666666666"""
20,"""38EHZ67RIMTQT0L0BX1PNY1Y01OMGJ""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue May 21 09:23:51 CEST 2019""","""75""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2700""","""60000""","""Thu Jun 20 09:23:51 CEST 2019""","""https://requester.mturk.com/mturk/manageHIT?HITId=38EHZ67RIMTQT0L0BX1PNY1Y01OMGJ""","""3NPFYT4IZC54AWIYF680NZDMVLXGXT""",20,"""Submitted""","""Wed May 22 02:34:27 CEST 2019""","""Tue May 21 09:25:56 CEST 2019""","""Tue May 21 09:54:27 CEST 2019""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""26.442666666666668"""
21,"""38EHZ67RIMTQT0L0BX1PNY1Y01OMGJ""","""3S9TI1T3V0P33QPZX2AJH2ZCPOMAF1""","""Fun psychology / vision / language experiment!""","""You will be asked to judge whether certain sentences are true or false in the context of an image.""","""language research fun cognitive science university explanations""","""$4.00""","""Tue May 21 09:23:51 CEST 2019""","""75""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 J""","""2700""","""60000""","""Thu Jun 20 09:23:51 CEST 2019""","""https://requester.mturk.com/mturk/manageHIT?HITId=38EHZ67RIMTQT0L0BX1PNY1Y01OMGJ""","""384PI804XS2Z3BLE7UDA3Z9E9P6S0U""",21,"""Submitted""","""Wed May 22 02:35:01 CEST 2019""","""Tue May 21 09:26:14 CEST 2019""","""Tue May 21 09:55:01 CEST 2019""","""""","""""","""""","""""","""""","""[]""","""\""J\""""","""28.592366666666667"""
